gene,wt_0_r1,wt_0_r2,wt_0_r3,wt_15_r1,wt_15_r2,wt_15_r3,wt_30_r1,wt_30_r2,wt_30_r3,wt_60_r1,wt_60_r2,wt_60_r3,wt_120_r1,wt_120_r2,wt_120_r3,wt_180_r1,wt_180_r2,wt_180_r3,mut_0_r1,mut_0_r2,mut_0_r3,mut_15_r1,mut_15_r2,mut_15_r3,mut_30_r1,mut_30_r2,mut_30_r3,mut_60_r1,mut_60_r2,mut_60_r3,mut_120_r1,mut_120_r2,mut_120_r3,mut_180_r1,mut_180_r2,mut_180_r3
SPAC212.11,5.059854111475612,5.372101088920739,20.450566622971568,14.770159788438702,14.57711747378108,57.59196592214239,7.052572615239985,10.293014538572718,11.757074612740366,3.851960191896884,5.7980995333274565,7.283889931525989,2.574618897382785,0,10.35091825411852,9.075494882668321,4.891081888222116,12.273454581108698,3.7825782483383126,6.086342046503902,3.861226493888985,16.453446976048525,12.960432860882836,14.692021092425538,2.329710211440551,6.283734251469315,8.452420480099473,0,3.399712175527452,0.6975511916151445,1.6308359842251938,0,5.551000833085645,2.9379105374813994,7.759482278802891,7.985037244288855
SPAC212.09c,14.547080570492385,41.63378343913573,40.08311058102428,30.317696407847862,48.10448766347756,52.01854986516087,71.30934533187096,107.34143733082978,88.17805959555274,77.03920383793769,53.92232565994535,66.46549562517465,47.20134645201773,41.448241995832234,78.92575168765372,39.02462799547378,72.55104800862806,46.63912740821305,17.652031825578792,31.1925029883325,42.473491432778836,40.385733486664556,38.88129858264851,41.62739309520569,47.3707742992912,52.36445209557762,51.55976492860679,28.821039180636,73.09381177384022,73.24287511959017,41.58631759774244,54.619288312180984,35.68500535555057,47.00656859970239,26.60393924160991,66.54197703574046
SPAC212.04c,23.401825265574708,6.715126361150924,17.17847596329612,20.989174436202365,8.746270484268647,7.431221409308696,25.85943292254661,47.053780747760996,63.48820290879797,19.259800959484423,18.55391850664786,20.94118355313722,21.455157478189875,11.842354855952067,23.28956607176667,22.688737206670805,23.640229126406894,20.864872787884785,23.956328906142648,32.71408849995847,50.74754820539809,56.83918046271308,27.00090179350591,40.40305800417023,107.94323979674552,98.44516993968593,97.20283552114395,57.642078361272,68.8441715544309,41.15552030529352,35.878391652954264,62.95104415641198,49.16600737875857,49.944479137183784,36.58041645721363,38.594346680729466
SPNCRNA.601,22.769343501640254,4.029075816690555,4.908135989513177,17.879667112320533,11.661693979024863,0,8.619810974182204,2.9408612967350622,7.054244767644219,13.481860671639096,5.218289579994711,8.194376172966738,18.022332281679496,11.842354855952067,7.7631886905888905,17.243440277069812,7.336622832333174,3.6820363743326094,17.652031825578792,16.737440627885732,11.583679481666955,16.453446976048525,14.040468932623073,12.243350910354614,5.435990493361285,9.425601377203972,2.535726144029842,1.4059043502749267,7.649352394936767,5.580409532921156,6.523343936900775,12.034758441666996,6.34400095209788,0.9793035124937998,12.193472152404544,9.315876785003663
SPAC977.11,98.03467340983998,80.5815163338111,76.8941305023731,83.179320913839,36.442793684452695,40.87171775119783,86.19810974182204,67.63980982490644,88.17805959555274,42.371562110865725,58.56080528660731,61.91306441797091,61.79085353718684,75.79107107809322,86.6889403782426,66.25111264347875,88.0394739879981,67.50400019609783,70.60812730231517,101.18543652312738,102.04670019563747,55.34341255579958,56.16187573049229,23.26236672967377,73.77415669561744,106.82348227497835,84.52420480099474,37.95941745742302,51.84561067679365,60.68695367051757,70.12594732168333,41.65877922115499,64.23300963999104,85.19940558696058,98.65627468763675,83.84289106503297
SPAC977.13c,12.017153514754579,12.087227450071664,11.452317308864078,11.66065246455687,32.06965844231837,11.146832113963045,159.85831261210632,144.10220354001805,106.98937897593733,23.111761151381305,67.2579545865985,44.61382583059668,13.73130078604152,16.579296798332894,23.28956607176667,19.058539253603474,17.118786608777405,7.364072748665219,10.086875328902167,7.6079275581298775,4.964434063571552,14.957679069135022,24.840829650025437,31.832712366922,113.3792302901068,95.30330281395126,115.7981605773628,29.52399135577346,46.746042413502465,11.858370257457455,8.969597913238566,18.515012987179993,11.10200166617129,12.730945662419396,18.844456962807023,11.977555866433283
SPAC977.15,57.55584051803509,42.97680871136591,70.3499491830222,96.39472704033679,87.46270484268648,150.4822335385011,54.06972338350655,69.11024047327396,75.24527752153834,23.111761151381305,41.74631663995769,49.16625703780043,24.887982674700257,10.658119370356859,12.938647817648151,26.318935159738132,23.640229126406894,28.228945536550004,79.43414321510457,48.69073637203122,54.05717091444579,65.8137879041941,84.24281359573844,57.54374927866669,48.14734436977138,62.83734251469314,60.85742745671621,35.14760875687317,34.84704979915639,48.82858341306011,24.462539763377908,27.772519480769994,30.13400452246493,18.606766737382195,27.712436710010326,13.308395407148092
SPAC977.16c,116.37664456393908,141.0176535841694,143.15396636080098,101.83636485713,141.39803949567647,165.3446763571185,83.84725220340871,105.87100668246225,163.42333711709108,59.70538297440171,107.26484136655795,119.27369762873808,26.604395272955447,17.7635322839281,47.87299692529816,27.226484648004963,44.01973699399905,25.774254620328264,90.7818779601195,75.31848282548579,158.86189003428967,109.19105720468566,88.56295788269938,197.1179496567093,62.12560563841468,68.0737877242509,76.91702636890521,79.43359579053336,69.69409959831277,70.45267035312959,30.170465708166084,27.772519480769994,47.5800071407341,26.441194837332592,52.099381014819414,26.616790814296184
SPNCRNA.607,30.991606432788124,21.488404355682956,30.26683860199792,29.540319576877405,27.69652320018405,3.715610704654348,131.6480221511464,123.51617446287263,158.72050727199493,90.52106450957677,97.40807215990128,84.67522045398962,44.62672755463495,24.86894519749934,24.583430853531485,40.83972697200745,52.986720455739594,25.774254620328264,30.2606259867065,23.58457543020262,29.786604381429314,55.34341255579958,36.721226439168035,20.813696547602845,160.750004589398,140.33673161614803,109.03622419328322,74.51293056457112,118.13999809957896,67.66246558666901,63.602603384782554,65.72829610448898,30.13400452246493,35.25492644977679,36.58041645721363,33.27098851787023
SPAC1F8.06,66.41058521311741,67.15126361150924,76.07610783745424,1.554753661940916,18.950252715915404,39.01391239887066,20.374098666248845,57.346795286333716,54.08254321860568,67.40930335819547,60.30023514660555,69.1969543494969,104.7011684935666,100.66001627559257,73.75029256059446,112.53613654508719,78.25731021155386,115.37047306242175,75.65156496676626,60.102627709226034,113.63037967730442,35.89842976592405,29.16097393698638,39.17872291313477,96.29468873954276,33.513249341169676,71.00033203283559,67.48340881319649,76.49352394936767,118.58370257457456,97.03474106139903,72.20855065000198,95.95301440048043,115.55781447426837,129.69420380284834,162.36242396720672
