gene,wt_0_r1,wt_0_r2,wt_0_r3,wt_15_r1,wt_15_r2,wt_15_r3,wt_30_r1,wt_30_r2,wt_30_r3,wt_60_r1,wt_60_r2,wt_60_r3,wt_120_r1,wt_120_r2,wt_120_r3,wt_180_r1,wt_180_r2,wt_180_r3,mut_0_r1,mut_0_r2,mut_0_r3,mut_15_r1,mut_15_r2,mut_15_r3,mut_30_r1,mut_30_r2,mut_30_r3,mut_60_r1,mut_60_r2,mut_60_r3,mut_120_r1,mut_120_r2,mut_120_r3,mut_180_r1,mut_180_r2,mut_180_r3
SPAC212.11,4.947328595504889,4.9695723553836695,5.657995382387766,5.452544991741682,5.44479938521144,6.5012517029906665,5.07883072964272,5.254860838317315,5.324121443692557,4.853563336679969,4.9988331213885635,5.092714894217346,4.7355309515211506,4.19836518546589,5.257701985986096,5.192916001963254,4.935000607776176,5.347373022319406,4.847734283423253,5.017982215460877,4.854337651216512,5.517705149214338,5.377455189073962,5.449416919690818,4.709621226773559,5.030815595250093,5.159418719172935,4.19836518546589,4.814510443160078,4.479141500222889,4.626783661882739,4.19836518546589,4.982006527265507,4.7717188624682185,5.1205240458279615,5.133386644103945
SPAC212.09c,5.443588822047231,6.205209366849611,6.172469808773366,5.943911126022144,6.333457205837557,6.405293632559166,6.711638823840839,7.146485556491023,6.93233644696982,6.790664076591217,6.438861123301345,6.641045199030807,6.316304021112926,6.201336106995297,6.8157119503967785,6.14962633619217,6.729158054022564,6.305510253307348,5.561733560791697,5.966207392396466,6.222593050069606,6.17892575138005,6.146501099021181,6.205076161176907,6.319539244742674,6.411456615206867,6.3970745288237065,5.904782405828342,6.736745530331494,6.738821945830184,6.204219616624142,6.450939303932723,6.074706457394066,6.312574742377867,5.8443517703781165,6.642188974787873
SPAC212.04c,5.751173712363358,5.058124850183285,5.5445571188623575,5.675588663579591,5.175380853296429,5.1014331108431845,5.8233443931948585,6.313479666335388,6.59574748678646,5.618073820592432,5.593699984253565,5.674032335085828,5.690588429767328,5.3280010149549355,5.747766473570022,5.72935511918688,5.758376116420621,5.67155310881121,5.767856478259487,6.004039448015165,6.382396202608072,6.488690273608996,5.855400929776662,6.179294347621518,7.152704369624859,7.051160887965272,7.03731345226686,6.502083707003991,6.676172190045523,6.195201356530183,6.0791694778359435,6.587409848388468,6.353333440642004,6.367719598442997,6.095237907368413,6.140220858836555
SPNCRNA.601,5.731842546152852,4.868198102884581,4.936256494119018,5.569892393361569,5.3197633687017865,4.19836518546589,5.168548377889491,4.772002988227687,5.078931978102221,5.3996812321976915,4.958703894473221,5.145147189772233,5.574974140633601,5.3280010149549355,5.120737053846541,5.5469300034846,5.095846278380879,4.83918694820083,5.561733560791697,5.528305064941182,5.316183686459358,5.517705149214338,5.422947931507937,5.346033014249335,4.974037952014353,5.2111802338867665,4.731504132707014,4.596343440987298,5.114169258228223,4.98402991671192,5.046104873471113,5.336695783061903,5.034690379516336,4.530837637813793,5.343808605053877,5.2054973667668305
SPAC977.11,7.046600634514993,6.8373240179336685,6.788718775607663,6.8705599722332265,6.0921041756358445,6.1892251531169915,6.908197968580545,6.658501034727271,6.93233644696982,6.220495480750596,6.517245554425981,6.571150216228091,6.569222769835573,6.773836363065302,6.914221452414781,6.63783393015031,6.930660577596621,6.656493771519353,6.701644465139057,7.081225202197446,7.090541657691466,6.463372302042155,6.477285834335865,5.746939398839711,6.746196889183685,7.1411109053956485,6.8874552380230245,6.1262124127964865,6.402201477470527,6.5516856619278006,6.694729023473282,6.205730266143017,6.607223170938406,6.895859872490471,7.053500255825952,6.878922114647097
SPAC977.13c,5.33590352056998,5.339053096023383,5.310125077026825,5.319715668776269,5.988159667575772,5.295881524584732,7.606185339256068,7.483294990320518,7.142834616819,5.742348911690467,6.652849604848752,6.265863237714615,5.4101383500304525,5.522415688302354,5.747766473570022,5.611179984427937,5.542372197710409,5.097471451867682,5.244672779209434,5.111765983854605,4.940385976914205,5.460012615239688,5.79397640097988,5.982268614728488,7.207657518306896,7.0158697703992345,7.2314332160243175,5.923319306279458,6.307569795995913,5.328727812267524,5.187314758451892,5.592340489129192,5.293772739796389,5.367510154668133,5.603798648413849,5.334119112668888
SPAC977.15,6.500651598865236,6.232900506871493,6.697946055147109,7.028231274626025,6.923663936422495,7.534348909948002,6.441424719678761,6.680045167581208,6.766412059300205,5.742348911690467,6.207552824846652,6.353338079855373,5.795352415824712,5.272627964619896,5.376515483610205,5.836354362069829,5.758376116420621,5.888942667558471,6.8223841623359265,6.344471795320931,6.441206596383381,6.631259368521435,6.883937368721667,6.500450682357584,6.3342655748437595,6.585638336275983,6.554408955748143,6.062219453530468,6.055180439612703,6.347048226078498,5.78287754190216,5.876586816032437,5.939176651526406,5.59554394567389,5.874950702718684,5.392343110941358
SPAC977.16c,7.23705980836515,7.457934401875957,7.475547134597648,7.088272171721609,7.461086597088963,7.6465906651721856,6.878976904602506,7.131172981567322,7.632571228821858,6.535896256213552,7.14569204868879,7.264902815934489,5.84436452338993,5.565737729094095,6.329082086387546,5.861634008737513,6.253998330017044,5.820916742151465,6.963450964580401,6.767410205208474,7.598721816482518,7.1655112430345875,6.936980238511477,7.860369148601055,6.574495711743065,6.664895294225506,6.789025972526811,6.822376995315173,6.688505342546839,6.6994187483037635,5.940117881515615,5.876586816032437,6.3235234480286735,5.839791726471839,6.406736401757128,5.844711114308435
SPNCRNA.607,5.96112331748326,5.691650972404733,5.942602175824742,5.923746495009008,5.874516983644976,4.842054644945188,7.377978968634109,7.304704141171229,7.597659622919456,6.960365767110796,7.039610630637077,6.889339485904292,6.266119695764686,5.794797062826325,5.786436034903163,6.1885497385765245,6.4224714311190345,5.820916742151465,5.942442181598366,5.75669881891488,5.930171591193133,6.463372302042155,6.098436093865036,5.669887363530634,7.612831235070653,7.452274074889395,7.16392849718318,6.756386139378878,7.25407283664976,6.658835596174623,6.597516510393048,6.629970362129892,5.939176651526406,6.064723155273157,6.095237907368413,6.017598368887387
SPAC1F8.06,6.640223417700639,6.651266348138805,6.777697643871459,4.6167420543343995,5.607452656379734,6.149392954722168,5.65547480180036,6.497173671203431,6.441647451760399,6.655092386571178,6.545487234286682,6.681305008669476,7.118869394222204,7.075510825847279,6.745866477243399,7.1992748699284235,6.806889399368374,7.22725875230968,6.771942536456366,6.542308788971875,7.210144946664864,6.079631008726568,5.913782333672559,6.152977698914122,7.027102814940507,6.023450298508136,6.707243576136677,6.6561891706743666,6.783332566709337,7.258321417163252,7.035429162509278,6.724348275425044,7.0232416942049465,7.229088838845476,7.360718675808867,7.624770262710323
