sample,strain,minute,replicate
wt_0_r1,wt,0,r1
wt_0_r2,wt,0,r2
wt_0_r3,wt,0,r3
wt_15_r1,wt,15,r1
wt_15_r2,wt,15,r2
wt_15_r3,wt,15,r3
wt_30_r1,wt,30,r1
wt_30_r2,wt,30,r2
wt_30_r3,wt,30,r3
wt_60_r1,wt,60,r1
wt_60_r2,wt,60,r2
wt_60_r3,wt,60,r3
wt_120_r1,wt,120,r1
wt_120_r2,wt,120,r2
wt_120_r3,wt,120,r3
wt_180_r1,wt,180,r1
wt_180_r2,wt,180,r2
wt_180_r3,wt,180,r3
mut_0_r1,mut,0,r1
mut_0_r2,mut,0,r2
mut_0_r3,mut,0,r3
mut_15_r1,mut,15,r1
mut_15_r2,mut,15,r2
mut_15_r3,mut,15,r3
mut_30_r1,mut,30,r1
mut_30_r2,mut,30,r2
mut_30_r3,mut,30,r3
mut_60_r1,mut,60,r1
mut_60_r2,mut,60,r2
mut_60_r3,mut,60,r3
mut_120_r1,mut,120,r1
mut_120_r2,mut,120,r2
mut_120_r3,mut,120,r3
mut_180_r1,mut,180,r1
mut_180_r2,mut,180,r2
mut_180_r3,mut,180,r3
